"","a"
"74",0.000507589644818013
"183",0.000354586649123876
"195",0.000726394303726849
"490",0.000384557113707909
"572",0.000318475946436041
"653",0.000347236476362551
"657",0.000533512550715515
"658",0.00068848454073152
"659",0.000526938439763719
"660",0.000526188657749592
"661",0.000540781597171318
"662",0.000357894455742328
"663",0.000526967031056021
"755",0.000353916706362322
"777",0.000352470074211434
"804",0.000523550082469466
"939",0.000354833178456032
"940",0.000369285882020349
"941",0.000351890777375189
"942",0.000367112028221865
"943",0.000384718578839726
"944",0.000327908536601115
"946",0.000353951671364575
"947",0.0003648083360184
"948",0.000373210179016208
"949",0.000721219839238342
"950",0.000699349713360305
"955",0.000762744317782883
"956",0.000718562630187046
"957",0.00069188040184671
"958",0.000681645992941117
"959",0.000676462499135404
"960",0.000722785770546609
"1040",0.000385120618043417
"1046",0.000509105091953588
"1048",0.000571896287433118
"1049",0.000485758888225505
"1052",0.00051061932139057
"1059",0.00037265625098422
"1110",0.00052944637887597
"1219",0.000383772817184579
"1220",0.000385396421542351
"1221",0.000360467377708398
"1222",0.000372436948183728
"1223",0.000369628102903065
"1224",0.000346325988576263
"1225",0.000365979094109624
"1226",0.000376758470381681
"1227",0.000373153582442877
"1229",0.000376898488377355
"1230",0.00035856785471619
"1231",0.000526587177940108
"1232",0.000528969687246546
"1233",0.000556531869617645
"1234",0.000514903869849066
"1235",0.000693343599805326
"1236",0.000718454771867712
"1238",0.000527872102028732
"1239",0.000475528815900077
"1240",0.000499773200179551
"1241",0.000700471567474147
"1242",0.000718315362799251
"1243",0.000684496366474047
"1244",0.000705287831995069
"1245",0.000710887681318418
"1246",0.000506055103043122
"1247",0.000338611586845323
"1249",0.000500534595294706
"1250",0.000512444670870313
"1315",0.000373842409328156
"1321",0.000695804927093301
"1332",0.000538470052362954
"1340",0.000733751639772551
"1445",0.000330223340465569
"1506",0.000552363523008998
"1507",0.000507622787827343
"1508",0.00052804244602861
"1509",0.000540886808805678
"1510",0.000394193337926512
"1511",0.000526380814284734
"1512",0.000354320189122865
"1513",0.000515298699762048
"1514",0.000513684013852011
"1515",0.000536408323015125
"1516",0.000537248376224121
"1517",0.000502859532043419
"1518",0.000511432640296435
"1519",0.000514320135444719
"1520",0.000361629095754631
"1521",0.000499717524726277
"1524",0.000565108898747785
"1525",0.000361066723834289
"1530",0.000714269093264988
"1533",0.000698709109447309
"1601",0.000479537412722837
"1604",0.000674339334135869
"1614",0.000499809192796284
"1615",0.000395738368497136
"1640",0.000369220864414133
"1682",0.000372852189495083
"1778",0.000346567631043188
"1779",0.000517149193024748
"1780",0.000532696745091224
"1781",0.000513861673582325
"1782",0.000529641239034775
"1783",0.000526443942136304
"1784",0.000503507048316248
"1785",0.000526025433124767
"1786",0.000537838384847385
"1790",0.000364387370248114
"1791",0.000553498666891993
"1792",0.000521834305786476
"1793",0.000527724648940178
"1794",0.000534791637168109
"1795",0.000530639195483973
"1796",0.00054358840299377
"1797",0.000495452403168281
"1798",0.000487996022656044
"1799",0.000503396026439789
"1800",0.000545320754631607
"1801",0.000523897561827702
"1802",0.000540322283414583
"1804",0.000529618247233644
"1805",0.000357486021280619
"1811",0.000723511053857037
"1812",0.000720191639717034
"1813",0.000717149948987959
"1814",0.000729850179265453
"1815",0.000734827962566137
"1816",0.000729487177646849
"1828",0.000710586770230208
"1829",0.000685588353923783
"1886",0.000722002884311909
"1895",0.000378947847597917
"1896",0.000710699928942989
"1905",0.000711849635297128
"2056",0.000514657056895096
"2067",0.000367003334464262
"2068",0.000352258589306253
"2069",0.000323007297259271
"2070",0.000368523079606465
"2071",0.000395935242463721
"2072",0.000326146988631704
"2073",0.000508354103148364
"2074",0.000503707210575544
"2075",0.000555120379686588
"2076",0.000358665585720665
"2077",0.000518029899920379
"2078",0.000522959762002789
"2079",0.000365456861198516
"2080",0.000358486265368755
"2081",0.000338998466389998
"2082",0.000367062253240071
"2083",0.000398914180202508
"2089",0.000719445091449352
"2090",0.000705692746074216
"2091",0.000707186788036626
"2092",0.000711510342689622
"2093",0.000723906305159644
"2094",0.000722226072782476
"2095",0.000520196147742041
"2104",0.00073689462972677
"2105",0.000683224656119005
"2109",0.000727067906980478
"2173",0.000383867546721357
"2182",0.000355906895187108
"2199",0.000735821233043902
"2219",0.000699606212552784
"2281",0.000679696122664421
"2289",0.000741331363231613
"2329",0.000527083799928573
"2331",0.00036389554468532
"2351",0.000381302133222059
"2352",0.00038400079769531
"2353",0.000372989407446565
"2355",0.000387511215655504
"2359",0.000384265676865239
"2360",0.000349982602038536
"2361",0.000517568846556911
"2363",0.000757000919726993
"2364",0.000700361233975845
"2365",0.000688379655664825
"2366",0.000725080028852891
"2367",0.000692319377557629
"2379",0.000730317912903408
"2382",0.000669077794357517
"2385",0.000697927247394519
"2387",0.000529408370076716
"2444",0.000524844170663944
"2558",0.000710354452518
